"year_num","week_num","num_active_users","cum_active_users"
2013.0,1.0,67,67
2013.0,2.0,29,96
2013.0,3.0,47,143
2013.0,4.0,36,179
2013.0,5.0,30,209
2013.0,6.0,48,257
2013.0,7.0,41,298
2013.0,8.0,39,337
2013.0,9.0,33,370
2013.0,10.0,43,413
2013.0,11.0,33,446
2013.0,12.0,32,478
2013.0,13.0,33,511
2013.0,14.0,40,551
2013.0,15.0,35,586
2013.0,16.0,42,628
2013.0,17.0,48,676
2013.0,18.0,48,724
2013.0,19.0,45,769
2013.0,20.0,55,824
2013.0,21.0,41,865
2013.0,22.0,49,914
2013.0,23.0,51,965
2013.0,24.0,51,1016
2013.0,25.0,46,1062
2013.0,26.0,57,1119
2013.0,27.0,57,1176
2013.0,28.0,52,1228
2013.0,29.0,71,1299
2013.0,30.0,66,1365
2013.0,31.0,69,1434
2013.0,32.0,66,1500
2013.0,33.0,73,1573
2013.0,34.0,70,1643
2013.0,35.0,80,1723
2013.0,36.0,65,1788
2013.0,37.0,71,1859
2013.0,38.0,84,1943
2013.0,39.0,92,2035
2013.0,40.0,81,2116
2013.0,41.0,88,2204
2013.0,42.0,74,2278
2013.0,43.0,97,2375
2013.0,44.0,92,2467
2013.0,45.0,97,2564
2013.0,46.0,94,2658
2013.0,47.0,82,2740
2013.0,48.0,103,2843
2013.0,49.0,96,2939
2013.0,50.0,117,3056
2013.0,51.0,123,3179
2013.0,52.0,104,3283
2014.0,1.0,91,3374
2014.0,2.0,122,3496
2014.0,3.0,112,3608
2014.0,4.0,113,3721
2014.0,5.0,130,3851
2014.0,6.0,132,3983
2014.0,7.0,135,4118
2014.0,8.0,127,4245
2014.0,9.0,127,4372
2014.0,10.0,135,4507
2014.0,11.0,152,4659
2014.0,12.0,132,4791
2014.0,13.0,151,4942
2014.0,14.0,161,5103
2014.0,15.0,166,5269
2014.0,16.0,165,5434
2014.0,17.0,176,5610
2014.0,18.0,172,5782
2014.0,19.0,160,5942
2014.0,20.0,186,6128
2014.0,21.0,177,6305
2014.0,22.0,186,6491
2014.0,23.0,197,6688
2014.0,24.0,198,6886
2014.0,25.0,222,7108
2014.0,26.0,210,7318
2014.0,27.0,199,7517
2014.0,28.0,223,7740
2014.0,29.0,215,7955
2014.0,30.0,228,8183
2014.0,31.0,234,8417
2014.0,32.0,189,8606
2014.0,33.0,250,8856
2014.0,34.0,259,9115
2014.0,35.0,266,9381
