"year_num","week_num","device","no_of_users"
2014.0,18.0,"acer aspire desktop",10
2014.0,18.0,"acer aspire notebook",21
2014.0,18.0,"amazon fire phone",4
2014.0,18.0,"asus chromebook",23
2014.0,18.0,"dell inspiron desktop",21
2014.0,18.0,"dell inspiron notebook",49
2014.0,18.0,"hp pavilion desktop",15
2014.0,18.0,"htc one",16
2014.0,18.0,"ipad air",30
2014.0,18.0,"ipad mini",21
2014.0,18.0,"iphone 4s",21
2014.0,18.0,"iphone 5",70
2014.0,18.0,"iphone 5s",45
2014.0,18.0,"kindle fire",6
2014.0,18.0,"lenovo thinkpad",90
2014.0,18.0,"macbook air",57
2014.0,18.0,"macbook pro",154
2014.0,18.0,"mac mini",8
2014.0,18.0,"nexus 10",16
2014.0,18.0,"nexus 5",43
2014.0,18.0,"nexus 7",20
2014.0,18.0,"nokia lumia 635",19
2014.0,18.0,"samsumg galaxy tablet",8
2014.0,18.0,"samsung galaxy note",7
2014.0,18.0,"samsung galaxy s4",56
2014.0,18.0,"windows surface",10
2014.0,19.0,"acer aspire desktop",26
2014.0,19.0,"acer aspire notebook",34
2014.0,19.0,"amazon fire phone",9
2014.0,19.0,"asus chromebook",42
2014.0,19.0,"dell inspiron desktop",58
2014.0,19.0,"dell inspiron notebook",78
2014.0,19.0,"hp pavilion desktop",37
2014.0,19.0,"htc one",19
2014.0,19.0,"ipad air",52
2014.0,19.0,"ipad mini",29
2014.0,19.0,"iphone 4s",47
2014.0,19.0,"iphone 5",114
2014.0,19.0,"iphone 5s",70
2014.0,19.0,"kindle fire",26
2014.0,19.0,"lenovo thinkpad",155
2014.0,19.0,"macbook air",119
2014.0,19.0,"macbook pro",248
2014.0,19.0,"mac mini",12
2014.0,19.0,"nexus 10",30
2014.0,19.0,"nexus 5",73
2014.0,19.0,"nexus 7",29
2014.0,19.0,"nokia lumia 635",34
2014.0,19.0,"samsumg galaxy tablet",11
2014.0,19.0,"samsung galaxy note",15
2014.0,19.0,"samsung galaxy s4",80
2014.0,19.0,"windows surface",10
2014.0,20.0,"acer aspire desktop",22
2014.0,20.0,"acer aspire notebook",40
2014.0,20.0,"amazon fire phone",12
2014.0,20.0,"asus chromebook",26
2014.0,20.0,"dell inspiron desktop",36
2014.0,20.0,"dell inspiron notebook",82
2014.0,20.0,"hp pavilion desktop",40
2014.0,20.0,"htc one",32
2014.0,20.0,"ipad air",53
2014.0,20.0,"ipad mini",37
2014.0,20.0,"iphone 4s",40
2014.0,20.0,"iphone 5",113
2014.0,20.0,"iphone 5s",77
2014.0,20.0,"kindle fire",20
2014.0,20.0,"lenovo thinkpad",176
2014.0,20.0,"macbook air",110
2014.0,20.0,"macbook pro",261
2014.0,20.0,"mac mini",19
2014.0,20.0,"nexus 10",25
2014.0,20.0,"nexus 5",84
2014.0,20.0,"nexus 7",41
2014.0,20.0,"nokia lumia 635",22
2014.0,20.0,"samsumg galaxy tablet",6
2014.0,20.0,"samsung galaxy note",11
2014.0,20.0,"samsung galaxy s4",90
2014.0,20.0,"windows surface",15
2014.0,21.0,"acer aspire desktop",23
2014.0,21.0,"acer aspire notebook",40
2014.0,21.0,"amazon fire phone",10
2014.0,21.0,"asus chromebook",39
2014.0,21.0,"dell inspiron desktop",52
2014.0,21.0,"dell inspiron notebook",84
2014.0,21.0,"hp pavilion desktop",31
2014.0,21.0,"htc one",27
2014.0,21.0,"ipad air",54
2014.0,21.0,"ipad mini",32
2014.0,21.0,"iphone 4s",56
2014.0,21.0,"iphone 5",128
2014.0,21.0,"iphone 5s",75
2014.0,21.0,"kindle fire",22
2014.0,21.0,"lenovo thinkpad",177
2014.0,21.0,"macbook air",119
2014.0,21.0,"macbook pro",256
2014.0,21.0,"mac mini",25
2014.0,21.0,"nexus 10",23
2014.0,21.0,"nexus 5",99
2014.0,21.0,"nexus 7",31
2014.0,21.0,"nokia lumia 635",21
2014.0,21.0,"samsumg galaxy tablet",9
2014.0,21.0,"samsung galaxy note",18
2014.0,21.0,"samsung galaxy s4",92
2014.0,21.0,"windows surface",19
2014.0,22.0,"acer aspire desktop",28
2014.0,22.0,"acer aspire notebook",47
2014.0,22.0,"amazon fire phone",4
2014.0,22.0,"asus chromebook",38
2014.0,22.0,"dell inspiron desktop",41
2014.0,22.0,"dell inspiron notebook",81
2014.0,22.0,"hp pavilion desktop",42
2014.0,22.0,"htc one",20
2014.0,22.0,"ipad air",51
2014.0,22.0,"ipad mini",25
2014.0,22.0,"iphone 4s",46
2014.0,22.0,"iphone 5",136
2014.0,22.0,"iphone 5s",71
2014.0,22.0,"kindle fire",30
2014.0,22.0,"lenovo thinkpad",164
2014.0,22.0,"macbook air",107
2014.0,22.0,"macbook pro",244
2014.0,22.0,"mac mini",18
2014.0,22.0,"nexus 10",24
2014.0,22.0,"nexus 5",94
2014.0,22.0,"nexus 7",29
2014.0,22.0,"nokia lumia 635",25
2014.0,22.0,"samsumg galaxy tablet",6
2014.0,22.0,"samsung galaxy note",20
2014.0,22.0,"samsung galaxy s4",84
2014.0,22.0,"windows surface",17
2014.0,23.0,"acer aspire desktop",25
2014.0,23.0,"acer aspire notebook",39
2014.0,23.0,"amazon fire phone",5
2014.0,23.0,"asus chromebook",51
2014.0,23.0,"dell inspiron desktop",53
2014.0,23.0,"dell inspiron notebook",91
2014.0,23.0,"hp pavilion desktop",38
2014.0,23.0,"htc one",24
2014.0,23.0,"ipad air",57
2014.0,23.0,"ipad mini",32
2014.0,23.0,"iphone 4s",41
2014.0,23.0,"iphone 5",122
2014.0,23.0,"iphone 5s",71
2014.0,23.0,"kindle fire",21
2014.0,23.0,"lenovo thinkpad",170
2014.0,23.0,"macbook air",145
2014.0,23.0,"macbook pro",254
2014.0,23.0,"mac mini",24
2014.0,23.0,"nexus 10",28
2014.0,23.0,"nexus 5",95
2014.0,23.0,"nexus 7",44
2014.0,23.0,"nokia lumia 635",25
2014.0,23.0,"samsumg galaxy tablet",11
2014.0,23.0,"samsung galaxy note",19
2014.0,23.0,"samsung galaxy s4",103
2014.0,23.0,"windows surface",15
2014.0,24.0,"acer aspire desktop",21
2014.0,24.0,"acer aspire notebook",43
2014.0,24.0,"amazon fire phone",16
2014.0,24.0,"asus chromebook",48
2014.0,24.0,"dell inspiron desktop",53
2014.0,24.0,"dell inspiron notebook",100
2014.0,24.0,"hp pavilion desktop",55
2014.0,24.0,"htc one",21
2014.0,24.0,"ipad air",42
2014.0,24.0,"ipad mini",32
2014.0,24.0,"iphone 4s",52
2014.0,24.0,"iphone 5",151
2014.0,24.0,"iphone 5s",80
2014.0,24.0,"kindle fire",25
2014.0,24.0,"lenovo thinkpad",176
2014.0,24.0,"macbook air",122
2014.0,24.0,"macbook pro",259
2014.0,24.0,"mac mini",17
2014.0,24.0,"nexus 10",43
2014.0,24.0,"nexus 5",87
2014.0,24.0,"nexus 7",37
2014.0,24.0,"nokia lumia 635",31
2014.0,24.0,"samsumg galaxy tablet",14
2014.0,24.0,"samsung galaxy note",12
2014.0,24.0,"samsung galaxy s4",95
2014.0,24.0,"windows surface",16
2014.0,25.0,"acer aspire desktop",23
2014.0,25.0,"acer aspire notebook",42
2014.0,25.0,"amazon fire phone",11
2014.0,25.0,"asus chromebook",41
2014.0,25.0,"dell inspiron desktop",57
2014.0,25.0,"dell inspiron notebook",102
2014.0,25.0,"hp pavilion desktop",56
2014.0,25.0,"htc one",19
2014.0,25.0,"ipad air",58
2014.0,25.0,"ipad mini",38
2014.0,25.0,"iphone 4s",52
2014.0,25.0,"iphone 5",143
2014.0,25.0,"iphone 5s",78
2014.0,25.0,"kindle fire",25
2014.0,25.0,"lenovo thinkpad",164
2014.0,25.0,"macbook air",149
2014.0,25.0,"macbook pro",251
2014.0,25.0,"mac mini",29
2014.0,25.0,"nexus 10",38
2014.0,25.0,"nexus 5",85
2014.0,25.0,"nexus 7",47
2014.0,25.0,"nokia lumia 635",32
2014.0,25.0,"samsumg galaxy tablet",11
2014.0,25.0,"samsung galaxy note",19
2014.0,25.0,"samsung galaxy s4",102
2014.0,25.0,"windows surface",21
2014.0,26.0,"acer aspire desktop",29
2014.0,26.0,"acer aspire notebook",44
2014.0,26.0,"amazon fire phone",12
2014.0,26.0,"asus chromebook",40
2014.0,26.0,"dell inspiron desktop",53
2014.0,26.0,"dell inspiron notebook",108
2014.0,26.0,"hp pavilion desktop",50
2014.0,26.0,"htc one",20
2014.0,26.0,"ipad air",57
2014.0,26.0,"ipad mini",31
2014.0,26.0,"iphone 4s",39
2014.0,26.0,"iphone 5",134
2014.0,26.0,"iphone 5s",80
2014.0,26.0,"kindle fire",24
2014.0,26.0,"lenovo thinkpad",196
2014.0,26.0,"macbook air",119
2014.0,26.0,"macbook pro",276
2014.0,26.0,"mac mini",22
2014.0,26.0,"nexus 10",30
2014.0,26.0,"nexus 5",90
2014.0,26.0,"nexus 7",49
2014.0,26.0,"nokia lumia 635",37
2014.0,26.0,"samsumg galaxy tablet",12
2014.0,26.0,"samsung galaxy note",14
2014.0,26.0,"samsung galaxy s4",100
2014.0,26.0,"windows surface",19
2014.0,27.0,"acer aspire desktop",28
2014.0,27.0,"acer aspire notebook",35
2014.0,27.0,"amazon fire phone",13
2014.0,27.0,"asus chromebook",47
2014.0,27.0,"dell inspiron desktop",59
2014.0,27.0,"dell inspiron notebook",90
2014.0,27.0,"hp pavilion desktop",47
2014.0,27.0,"htc one",23
2014.0,27.0,"ipad air",55
2014.0,27.0,"ipad mini",41
2014.0,27.0,"iphone 4s",49
2014.0,27.0,"iphone 5",150
2014.0,27.0,"iphone 5s",92
2014.0,27.0,"kindle fire",26
2014.0,27.0,"lenovo thinkpad",188
